# Badam, Buwa & Durst, Can. J. Chem. Eng. 85 (2007) 257-267, Fig. 5b
# d_o = 2 mm, air-water. Average-value lines digitized from the printed figure
# (not the scatter). Uncertainty about +/-0.03 cm3.
Q_cm3_min,stainless_avg_cm3,teflon_avg_cm3,acrylic_avg_cm3
75,0.055,0.075,0.070
150,0.095,0.130,0.120
250,0.140,0.195,0.180
350,0.185,0.255,0.235
450,0.225,0.315,0.290
550,0.265,0.375,0.345
650,0.305,0.430,0.400
750,0.345,0.490,0.450
850,0.385,0.545,0.505
950,0.420,0.600,0.555
1050,0.455,0.650,0.600
1150,0.490,0.710,0.655
1250,0.525,0.760,0.705
1350,0.555,0.815,0.755
1450,0.590,0.870,0.805
1550,0.620,0.920,0.850
1650,0.650,0.970,0.900
1750,0.680,1.020,0.945
1850,0.710,1.070,0.990
1950,0.735,1.110,1.025
