# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 10
# LOX T vs time, P=1 bar. Experiment only.
# Series assigned from the figure's own arrows (not the swapped prose):
#   black squares  r=1.34 min^-1 -> T_He=114 K (most cooling, ~83.5 K at 600 s)
#   red circles    r=0.50 min^-1 -> T_He=140 K (~85.7 K at 600 s)
#   blue triangles r=1.05 min^-1 -> T_He=288 K (least cooling, ~87.2 K at 600 s)
# Matches Baldwin 2023 Table 2 cases 6/7/8 (dT_exp 4.0 / 4.6 / 6.8 K).
# The prose sentence that puts 288 K at r=1.34 is a typesetting swap; the arrows win.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T114K_r1.34_measured,T140K_r0.5_measured,T288K_r1.05_measured
0,90.1491,90.1491,91.1258
1,90.1491,90.1483,91.1234
2,90.1491,90.1463,91.1185
3,90.1491,90.1443,91.1136
4,90.1491,90.1423,91.1087
5,90.1491,90.1403,91.1038
6,90.1491,90.1383,91.0989
7,90.1491,90.1362,91.0940
8,90.1491,90.1342,91.0891
9,90.1491,90.1322,91.0842
10,90.1491,90.1302,91.0793
11,90.1491,90.1282,91.0744
12,90.1491,90.1262,91.0696
13,90.1491,90.1242,91.0647
14,90.1491,90.1222,91.0598
15,90.1491,90.1202,91.0549
16,90.1491,90.1181,91.0500
17,90.1491,90.1161,91.0451
18,90.1491,90.1141,91.0402
19,90.1491,90.1121,91.0353
20,90.1491,90.1101,91.0304
21,90.1491,90.1081,91.0255
22,90.1491,90.1061,91.0206
23,90.1491,90.1041,91.0157
24,90.1491,90.1021,91.0108
25,90.1491,90.1000,91.0060
26,90.1491,90.0980,91.0011
27,90.1491,90.0960,90.9962
28,90.1491,90.0940,90.9913
29,90.1491,90.0920,90.9864
30,90.1491,90.0900,90.9815
31,90.1491,90.0880,90.9766
32,90.1491,90.0860,90.9717
33,90.1491,90.0840,90.9668
34,90.1491,90.0819,90.9619
35,90.1491,90.0799,90.9570
36,90.1491,90.0779,90.9521
37,90.1491,90.0759,90.9472
38,90.1491,90.0739,90.9423
39,90.1491,90.0719,90.9375
40,90.1491,90.0699,90.9326
41,90.1491,90.0679,90.9277
42,90.1491,90.0658,90.9228
43,90.1491,90.0638,90.9179
44,90.1491,90.0618,90.9130
45,90.1491,90.0598,90.9081
46,90.1491,90.0578,90.9032
47,90.1491,90.0558,90.8983
48,90.1491,90.0538,90.8934
49,90.1491,90.0518,90.8885
50,90.1491,90.0498,90.8836
51,90.1437,90.0477,90.8779
52,90.1337,90.0457,90.8717
53,90.1237,90.0437,90.8656
54,90.1136,90.0417,90.8594
55,90.1036,90.0396,90.8533
56,90.0936,90.0376,90.8471
57,90.0836,90.0356,90.8409
58,90.0736,90.0335,90.8348
59,90.0636,90.0315,90.8286
60,90.0536,90.0295,90.8225
61,90.0436,90.0275,90.8163
62,90.0336,90.0254,90.8102
63,90.0236,90.0234,90.8040
64,90.0136,90.0214,90.7978
65,90.0036,90.0194,90.7917
66,89.9936,90.0173,90.7855
67,89.9836,90.0153,90.7794
68,89.9736,90.0133,90.7732
69,89.9636,90.0113,90.7670
70,89.9536,90.0092,90.7609
71,89.9436,90.0072,90.7547
72,89.9336,90.0052,90.7486
73,89.9236,90.0031,90.7424
74,89.9136,90.0011,90.7362
75,89.9036,89.9991,90.7301
76,89.8936,89.9971,90.7239
77,89.8836,89.9950,90.7178
78,89.8736,89.9930,90.7116
79,89.8636,89.9910,90.7055
80,89.8536,89.9890,90.6993
81,89.8436,89.9869,90.6931
82,89.8336,89.9849,90.6870
83,89.8236,89.9829,90.6808
84,89.8136,89.9808,90.6747
85,89.8036,89.9788,90.6685
86,89.7936,89.9768,90.6623
87,89.7836,89.9748,90.6562
88,89.7736,89.9727,90.6500
89,89.7636,89.9707,90.6439
90,89.7536,89.9687,90.6377
91,89.7435,89.9667,90.6315
92,89.7335,89.9646,90.6254
93,89.7235,89.9626,90.6192
94,89.7135,89.9606,90.6131
95,89.7035,89.9585,90.6069
96,89.6935,89.9565,90.6008
97,89.6835,89.9545,90.5946
98,89.6735,89.9525,90.5884
99,89.6635,89.9504,90.5823
100,89.6535,89.9484,90.5761
101,89.6407,89.9437,90.5692
102,89.6267,89.9378,90.5621
103,89.6128,89.9319,90.5551
104,89.5988,89.9260,90.5480
105,89.5849,89.9201,90.5409
106,89.5710,89.9142,90.5338
107,89.5570,89.9082,90.5268
108,89.5431,89.9023,90.5197
109,89.5292,89.8964,90.5126
110,89.5152,89.8905,90.5055
111,89.5013,89.8846,90.4985
112,89.4873,89.8787,90.4914
113,89.4734,89.8728,90.4843
114,89.4595,89.8669,90.4772
115,89.4455,89.8610,90.4702
116,89.4316,89.8550,90.4631
117,89.4177,89.8491,90.4560
118,89.4037,89.8432,90.4489
119,89.3898,89.8373,90.4419
120,89.3758,89.8314,90.4348
121,89.3619,89.8255,90.4277
122,89.3480,89.8196,90.4206
123,89.3340,89.8137,90.4135
124,89.3201,89.8077,90.4065
125,89.3062,89.8018,90.3994
126,89.2922,89.7959,90.3923
127,89.2783,89.7900,90.3852
128,89.2643,89.7841,90.3782
129,89.2504,89.7782,90.3711
130,89.2365,89.7723,90.3640
131,89.2225,89.7664,90.3569
132,89.2086,89.7605,90.3499
133,89.1947,89.7545,90.3428
134,89.1807,89.7486,90.3357
135,89.1668,89.7427,90.3286
136,89.1528,89.7368,90.3216
137,89.1389,89.7309,90.3145
138,89.1250,89.7250,90.3074
139,89.1110,89.7191,90.3003
140,89.0971,89.7132,90.2933
141,89.0832,89.7073,90.2862
142,89.0692,89.7013,90.2791
143,89.0553,89.6954,90.2720
144,89.0413,89.6895,90.2649
145,89.0274,89.6836,90.2579
146,89.0135,89.6777,90.2508
147,88.9995,89.6718,90.2437
148,88.9856,89.6659,90.2366
149,88.9717,89.6600,90.2296
150,88.9577,89.6540,90.2225
151,88.9437,89.6435,90.2149
152,88.9296,89.6294,90.2070
153,88.9155,89.6154,90.1992
154,88.9014,89.6014,90.1913
155,88.8873,89.5874,90.1835
156,88.8732,89.5734,90.1756
157,88.8591,89.5594,90.1678
158,88.8450,89.5453,90.1599
159,88.8309,89.5313,90.1520
160,88.8168,89.5173,90.1442
161,88.8027,89.5033,90.1363
162,88.7886,89.4893,90.1285
163,88.7745,89.4753,90.1206
164,88.7604,89.4612,90.1128
165,88.7463,89.4472,90.1049
166,88.7322,89.4332,90.0970
167,88.7181,89.4192,90.0892
168,88.7040,89.4052,90.0813
169,88.6899,89.3912,90.0735
170,88.6758,89.3771,90.0656
171,88.6617,89.3631,90.0577
172,88.6476,89.3491,90.0499
173,88.6335,89.3351,90.0420
174,88.6194,89.3211,90.0342
175,88.6053,89.3070,90.0263
176,88.5912,89.2930,90.0185
177,88.5771,89.2790,90.0106
178,88.5630,89.2650,90.0027
179,88.5489,89.2510,89.9949
180,88.5348,89.2370,89.9870
181,88.5207,89.2229,89.9792
182,88.5066,89.2089,89.9713
183,88.4925,89.1949,89.9635
184,88.4784,89.1809,89.9556
185,88.4643,89.1669,89.9477
186,88.4502,89.1529,89.9399
187,88.4361,89.1388,89.9320
188,88.4220,89.1248,89.9242
189,88.4079,89.1108,89.9163
190,88.3938,89.0968,89.9085
191,88.3797,89.0828,89.9006
192,88.3656,89.0688,89.8927
193,88.3515,89.0547,89.8849
194,88.3374,89.0407,89.8770
195,88.3234,89.0267,89.8692
196,88.3093,89.0127,89.8613
197,88.2952,88.9987,89.8534
198,88.2811,88.9846,89.8456
199,88.2670,88.9706,89.8377
200,88.2529,88.9566,89.8299
201,88.2362,88.9483,89.8218
202,88.2182,88.9422,89.8136
203,88.2002,88.9361,89.8054
204,88.1823,88.9301,89.7973
205,88.1643,88.9240,89.7891
206,88.1464,88.9179,89.7809
207,88.1284,88.9119,89.7727
208,88.1104,88.9058,89.7646
209,88.0925,88.8997,89.7564
210,88.0745,88.8937,89.7482
211,88.0565,88.8876,89.7401
212,88.0386,88.8815,89.7319
213,88.0206,88.8755,89.7237
214,88.0027,88.8694,89.7156
215,87.9847,88.8634,89.7074
216,87.9667,88.8573,89.6992
217,87.9488,88.8512,89.6910
218,87.9308,88.8452,89.6829
219,87.9128,88.8391,89.6747
220,87.8949,88.8330,89.6665
221,87.8769,88.8270,89.6584
222,87.8590,88.8209,89.6502
223,87.8410,88.8148,89.6420
224,87.8230,88.8088,89.6339
225,87.8051,88.8027,89.6257
226,87.7871,88.7966,89.6175
227,87.7692,88.7906,89.6093
228,87.7512,88.7845,89.6012
229,87.7332,88.7785,89.5930
230,87.7153,88.7724,89.5848
231,87.6973,88.7663,89.5767
232,87.6793,88.7603,89.5685
233,87.6614,88.7542,89.5603
234,87.6434,88.7481,89.5522
235,87.6255,88.7421,89.5440
236,87.6075,88.7360,89.5358
237,87.5895,88.7299,89.5277
238,87.5716,88.7239,89.5195
239,87.5536,88.7178,89.5113
