# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 12
# 288 K He at 3 bar, V_He/V_LOX=1.21 min^-1, T0=91 K (warms);
# 114 K He at 3.5 bar, V_He/V_LOX=1.3 min^-1, T0=99 K (cools to 86.8 K at 1500 s).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T288K_P3bar_measured,T114K_P3p5bar_measured,T288K_P3bar_calculated,T114K_P3p5bar_calculated
0,91.0127,98.8416,91.1210,98.7918
1,91.0127,98.8416,91.1210,98.7918
2,91.0127,98.8416,91.1210,98.7918
3,91.0127,98.8416,91.1210,98.7918
4,91.0127,98.8416,91.1210,98.7918
5,91.0127,98.8416,91.1210,98.7918
6,91.0127,98.8416,91.1210,98.7918
7,91.0127,98.8416,91.1210,98.7918
8,91.0127,98.8416,91.1210,98.7918
9,91.0127,98.8416,91.1210,98.7918
10,91.0127,98.8416,91.1210,98.7918
11,91.0127,98.8416,91.1210,98.7918
12,91.0127,98.8416,91.1210,98.7918
13,91.0127,98.8416,91.1210,98.7918
14,91.0131,98.8302,91.1210,98.7918
15,91.0141,98.8185,91.1210,98.7918
16,91.0151,98.8067,91.1210,98.7918
17,91.0161,98.7950,91.1210,98.7918
18,91.0171,98.7833,91.1210,98.7918
19,91.0181,98.7716,91.1210,98.7918
20,91.0191,98.7599,91.1212,98.7906
21,91.0201,98.7482,91.1239,98.7704
22,91.0211,98.7365,91.1267,98.7502
23,91.0221,98.7248,91.1294,98.7300
24,91.0231,98.7131,91.1321,98.7098
25,91.0241,98.7014,91.1349,98.6896
26,91.0250,98.6897,91.1376,98.6694
27,91.0260,98.6780,91.1404,98.6492
28,91.0270,98.6663,91.1431,98.6290
29,91.0280,98.6546,91.1459,98.6088
30,91.0290,98.6429,91.1486,98.5886
31,91.0300,98.6312,91.1513,98.5684
32,91.0310,98.6195,91.1541,98.5482
33,91.0320,98.6078,91.1568,98.5280
34,91.0330,98.5961,91.1596,98.5078
35,91.0340,98.5844,91.1621,98.4896
36,91.0350,98.5727,91.1635,98.4829
37,91.0360,98.5610,91.1649,98.4763
38,91.0370,98.5493,91.1662,98.4696
39,91.0380,98.5376,91.1676,98.4629
40,91.0390,98.5259,91.1690,98.4563
41,91.0400,98.5142,91.1703,98.4496
42,91.0410,98.5025,91.1717,98.4429
43,91.0420,98.4908,91.1731,98.4363
44,91.0430,98.4791,91.1744,98.4296
45,91.0440,98.4674,91.1758,98.4229
46,91.0450,98.4557,91.1772,98.4162
47,91.0460,98.4439,91.1786,98.4096
48,91.0470,98.4322,91.1799,98.4029
49,91.0480,98.4205,91.1813,98.3962
50,91.0490,98.4088,91.1828,98.3880
51,91.0500,98.3971,91.1847,98.3740
52,91.0510,98.3854,91.1867,98.3601
53,91.0520,98.3737,91.1886,98.3461
54,91.0530,98.3620,91.1906,98.3322
55,91.0540,98.3503,91.1925,98.3182
56,91.0550,98.3386,91.1944,98.3043
57,91.0560,98.3269,91.1964,98.2903
58,91.0570,98.3152,91.1983,98.2764
59,91.0580,98.3035,91.2003,98.2624
60,91.0590,98.2918,91.2022,98.2485
61,91.0600,98.2801,91.2041,98.2345
62,91.0610,98.2684,91.2061,98.2206
63,91.0620,98.2567,91.2080,98.2066
64,91.0630,98.2450,91.2100,98.1927
65,91.0640,98.2333,91.2120,98.1756
66,91.0650,98.2216,91.2147,98.1352
67,91.0660,98.2099,91.2175,98.0948
68,91.0669,98.1982,91.2202,98.0545
69,91.0679,98.1865,91.2230,98.0141
70,91.0689,98.1748,91.2257,97.9737
71,91.0699,98.1631,91.2285,97.9333
72,91.0709,98.1514,91.2312,97.8929
73,91.0719,98.1389,91.2339,97.8525
74,91.0729,98.1204,91.2367,97.8121
75,91.0739,98.1020,91.2394,97.7717
76,91.0749,98.0835,91.2422,97.7314
77,91.0759,98.0650,91.2449,97.6910
78,91.0769,98.0465,91.2476,97.6506
79,91.0779,98.0280,91.2504,97.6102
80,91.0789,98.0096,91.2529,97.5722
81,91.0799,97.9911,91.2542,97.5440
82,91.0809,97.9726,91.2556,97.5158
83,91.0819,97.9541,91.2570,97.4875
84,91.0829,97.9356,91.2583,97.4593
85,91.0851,97.9172,91.2597,97.4311
86,91.0872,97.8987,91.2611,97.4029
87,91.0894,97.8802,91.2624,97.3746
88,91.0916,97.8617,91.2638,97.3464
89,91.0937,97.8432,91.2652,97.3182
90,91.0959,97.8248,91.2666,97.2900
91,91.0980,97.8063,91.2679,97.2617
92,91.1002,97.7878,91.2693,97.2335
93,91.1024,97.7693,91.2707,97.2053
94,91.1045,97.7508,91.2720,97.1770
95,91.1067,97.7324,91.2734,97.1488
96,91.1088,97.7139,91.2745,97.1206
97,91.1110,97.6954,91.2757,97.0923
98,91.1132,97.6769,91.2769,97.0641
99,91.1153,97.6584,91.2781,97.0358
100,91.1175,97.6400,91.2793,97.0076
101,91.1196,97.6215,91.2804,96.9793
102,91.1218,97.6030,91.2816,96.9511
103,91.1240,97.5845,91.2828,96.9229
104,91.1261,97.5660,91.2840,96.8946
105,91.1283,97.5476,91.2852,96.8664
106,91.1304,97.5291,91.2864,96.8381
107,91.1326,97.5106,91.2875,96.8099
108,91.1347,97.4921,91.2887,96.7816
109,91.1369,97.4736,91.2899,96.7534
110,91.1391,97.4552,91.2911,96.7256
111,91.1412,97.4367,91.2925,96.6988
112,91.1434,97.4182,91.2939,96.6719
113,91.1455,97.3997,91.2953,96.6451
114,91.1477,97.3813,91.2967,96.6182
115,91.1499,97.3628,91.2980,96.5913
116,91.1520,97.3443,91.2994,96.5645
117,91.1542,97.3258,91.3008,96.5376
118,91.1563,97.3073,91.3022,96.5108
119,91.1585,97.2889,91.3035,96.4839
120,91.1607,97.2704,91.3049,96.4571
121,91.1628,97.2519,91.3063,96.4302
122,91.1650,97.2334,91.3077,96.4034
123,91.1671,97.2149,91.3091,96.3765
124,91.1693,97.1965,91.3104,96.3496
125,91.1715,97.1780,91.3102,96.3239
126,91.1736,97.1595,91.3077,96.2996
127,91.1758,97.1410,91.3053,96.2753
128,91.1779,97.1225,91.3029,96.2510
129,91.1801,97.1041,91.3004,96.2267
130,91.1823,97.0856,91.2980,96.2024
131,91.1844,97.0671,91.2955,96.1781
132,91.1866,97.0486,91.2931,96.1538
133,91.1887,97.0302,91.2907,96.1295
134,91.1909,97.0120,91.2882,96.1052
135,91.1931,96.9937,91.2858,96.0810
136,91.1952,96.9755,91.2833,96.0567
137,91.1974,96.9572,91.2809,96.0324
138,91.1995,96.9390,91.2785,96.0081
139,91.2017,96.9207,91.2760,95.9838
140,91.2038,96.9025,91.2736,95.9595
141,91.2060,96.8842,91.2750,95.9362
142,91.2082,96.8659,91.2776,95.9133
143,91.2103,96.8477,91.2801,95.8903
144,91.2125,96.8294,91.2827,95.8674
145,91.2146,96.8112,91.2853,95.8444
146,91.2168,96.7929,91.2878,95.8214
147,91.2190,96.7747,91.2904,95.7985
148,91.2211,96.7564,91.2929,95.7755
149,91.2233,96.7382,91.2955,95.7526
150,91.2254,96.7199,91.2981,95.7296
151,91.2276,96.7017,91.3006,95.7066
152,91.2298,96.6834,91.3032,95.6837
153,91.2319,96.6651,91.3057,95.6607
154,91.2337,96.6469,91.3083,95.6378
155,91.2340,96.6286,91.3109,95.6148
156,91.2342,96.6104,91.3136,95.5944
157,91.2345,96.5921,91.3163,95.5744
158,91.2348,96.5739,91.3191,95.5544
159,91.2351,96.5556,91.3218,95.5345
160,91.2354,96.5374,91.3245,95.5145
161,91.2357,96.5191,91.3273,95.4945
162,91.2360,96.5009,91.3300,95.4745
163,91.2363,96.4826,91.3328,95.4545
164,91.2366,96.4644,91.3355,95.4345
165,91.2369,96.4461,91.3382,95.4145
166,91.2372,96.4278,91.3410,95.3945
167,91.2375,96.4096,91.3437,95.3745
168,91.2378,96.3913,91.3465,95.3545
169,91.2381,96.3731,91.3492,95.3346
170,91.2384,96.3548,91.3520,95.3146
171,91.2386,96.3366,91.3540,95.2944
172,91.2389,96.3183,91.3559,95.2742
173,91.2392,96.3001,91.3579,95.2540
174,91.2395,96.2818,91.3598,95.2338
175,91.2398,96.2636,91.3618,95.2136
176,91.2401,96.2453,91.3637,95.1934
177,91.2404,96.2270,91.3657,95.1732
178,91.2407,96.2088,91.3677,95.1531
179,91.2410,96.1905,91.3696,95.1329
180,91.2413,96.1723,91.3716,95.1127
181,91.2416,96.1540,91.3735,95.0925
182,91.2419,96.1358,91.3755,95.0723
183,91.2422,96.1175,91.3774,95.0521
184,91.2425,96.0993,91.3794,95.0319
185,91.2427,96.0810,91.3814,95.0117
186,91.2430,96.0628,91.3841,94.9921
187,91.2433,96.0445,91.3869,94.9725
188,91.2436,96.0262,91.3896,94.9529
189,91.2439,96.0080,91.3923,94.9333
190,91.2442,95.9897,91.3951,94.9137
191,91.2445,95.9715,91.3978,94.8941
192,91.2448,95.9532,91.4006,94.8745
193,91.2451,95.9350,91.4033,94.8548
194,91.2454,95.9184,91.4061,94.8352
195,91.2457,95.9018,91.4088,94.8156
196,91.2460,95.8852,91.4115,94.7960
197,91.2463,95.8686,91.4143,94.7764
198,91.2466,95.8520,91.4170,94.7568
199,91.2469,95.8354,91.4198,94.7372
200,91.2471,95.8188,91.4225,94.7178
201,91.2474,95.8023,91.4252,94.7006
202,91.2477,95.7857,91.4279,94.6834
203,91.2480,95.7691,91.4306,94.6661
204,91.2483,95.7525,91.4334,94.6489
205,91.2486,95.7359,91.4361,94.6317
206,91.2489,95.7193,91.4388,94.6145
207,91.2492,95.7027,91.4415,94.5973
208,91.2495,95.6861,91.4442,94.5800
209,91.2498,95.6695,91.4469,94.5628
210,91.2501,95.6529,91.4496,94.5456
211,91.2504,95.6363,91.4524,94.5284
212,91.2507,95.6197,91.4551,94.5112
213,91.2510,95.6032,91.4578,94.4939
214,91.2512,95.5866,91.4605,94.4767
215,91.2515,95.5700,91.4632,94.4595
216,91.2518,95.5534,91.4658,94.4415
217,91.2521,95.5368,91.4683,94.4234
218,91.2524,95.5202,91.4709,94.4053
219,91.2527,95.5036,91.4734,94.3873
220,91.2530,95.4870,91.4760,94.3692
221,91.2533,95.4704,91.4785,94.3512
222,91.2536,95.4538,91.4811,94.3331
223,91.2539,95.4372,91.4836,94.3150
224,91.2543,95.4206,91.4862,94.2970
225,91.2549,95.4041,91.4887,94.2789
226,91.2554,95.3875,91.4913,94.2609
227,91.2560,95.3709,91.4939,94.2428
228,91.2565,95.3543,91.4964,94.2248
229,91.2571,95.3377,91.4990,94.2067
230,91.2577,95.3211,91.5015,94.1889
231,91.2582,95.3045,91.5043,94.1740
232,91.2588,95.2879,91.5070,94.1591
233,91.2594,95.2713,91.5098,94.1442
234,91.2599,95.2547,91.5125,94.1293
235,91.2605,95.2381,91.5153,94.1144
236,91.2610,95.2215,91.5180,94.0995
237,91.2616,95.2050,91.5208,94.0846
238,91.2622,95.1884,91.5235,94.0697
239,91.2627,95.1718,91.5263,94.0548
240,91.2633,95.1552,91.5290,94.0399
241,91.2639,95.1386,91.5318,94.0250
242,91.2644,95.1220,91.5345,94.0101
243,91.2650,95.1054,91.5372,93.9952
244,91.2655,95.0888,91.5400,93.9803
245,91.2661,95.0722,91.5427,93.9651
246,91.2667,95.0556,91.5455,93.9485
247,91.2672,95.0390,91.5482,93.9318
248,91.2678,95.0224,91.5509,93.9151
249,91.2683,95.0059,91.5537,93.8985
250,91.2689,94.9893,91.5564,93.8818
251,91.2695,94.9727,91.5591,93.8651
252,91.2700,94.9561,91.5619,93.8484
253,91.2706,94.9397,91.5646,93.8318
254,91.2712,94.9246,91.5673,93.8151
255,91.2717,94.9096,91.5701,93.7984
256,91.2723,94.8945,91.5728,93.7818
257,91.2728,94.8794,91.5755,93.7651
258,91.2734,94.8643,91.5783,93.7484
259,91.2740,94.8493,91.5810,93.7317
260,91.2745,94.8342,91.5837,93.7157
261,91.2751,94.8191,91.5863,93.7015
262,91.2757,94.8040,91.5888,93.6874
263,91.2762,94.7890,91.5914,93.6733
264,91.2768,94.7739,91.5939,93.6592
265,91.2773,94.7588,91.5965,93.6451
266,91.2779,94.7437,91.5990,93.6310
267,91.2785,94.7287,91.6016,93.6169
268,91.2790,94.7136,91.6041,93.6028
269,91.2796,94.6985,91.6067,93.5886
270,91.2801,94.6834,91.6092,93.5745
271,91.2807,94.6684,91.6118,93.5604
272,91.2813,94.6533,91.6143,93.5463
273,91.2818,94.6382,91.6169,93.5322
274,91.2824,94.6231,91.6194,93.5181
275,91.2830,94.6081,91.6220,93.5041
276,91.2835,94.5930,91.6248,93.4906
277,91.2841,94.5779,91.6275,93.4771
278,91.2846,94.5628,91.6303,93.4636
279,91.2852,94.5478,91.6330,93.4500
