# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 5
# LOX T vs time, T_LOX,i=91 K, T_He=288 K.
# P=1 bar measured/calculated (V_He/V_LOX=1.39 min^-1, 100 L/min);
# P=3 bar measured/calculated (V_He/V_LOX=1.21 min^-1, 87 L/min).
# Digitized from vector markers (measured) and polylines (calculated); legend frame excluded.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,P1bar_measured,P3bar_measured,P1bar_calculated,P3bar_calculated
0,90.8038,91.5264,90.1204,91.5096
1,90.8038,91.5264,90.1204,91.5096
2,90.8013,91.5264,90.1204,91.5096
3,90.7898,91.5264,90.1204,91.5096
4,90.7782,91.5264,90.1204,91.5096
5,90.7666,91.5264,90.1204,91.5096
6,90.7550,91.5264,90.1204,91.5096
7,90.7435,91.5264,90.1204,91.5096
8,90.7319,91.5264,90.1204,91.5096
9,90.7203,91.5264,90.1204,91.5096
10,90.7088,91.5264,90.1204,91.5096
11,90.6972,91.5264,90.1204,91.5096
12,90.6856,91.5264,90.1204,91.5096
13,90.6740,91.5264,90.1173,91.5110
14,90.6625,91.5264,90.1132,91.5128
15,90.6509,91.5264,90.1091,91.5147
16,90.6393,91.5264,90.1051,91.5165
17,90.6278,91.5264,90.1010,91.5184
18,90.6162,91.5264,90.0969,91.5203
19,90.6046,91.5264,90.0928,91.5221
20,90.5930,91.5264,90.0888,91.5240
21,90.5815,91.5264,90.0847,91.5258
22,90.5699,91.5264,90.0806,91.5277
23,90.5583,91.5264,90.0765,91.5295
24,90.5468,91.5264,90.0725,91.5314
25,90.5352,91.5264,90.0684,91.5332
26,90.5236,91.5264,90.0643,91.5351
27,90.5121,91.5264,90.0602,91.5369
28,90.5005,91.5264,90.0570,91.5381
29,90.4889,91.5264,90.0543,91.5389
30,90.4773,91.5264,90.0516,91.5396
31,90.4658,91.5264,90.0489,91.5404
32,90.4542,91.5264,90.0462,91.5412
33,90.4426,91.5264,90.0435,91.5420
34,90.4311,91.5264,90.0408,91.5427
35,90.4195,91.5264,90.0381,91.5435
36,90.4079,91.5264,90.0354,91.5443
37,90.3963,91.5264,90.0327,91.5451
38,90.3848,91.5264,90.0300,91.5458
39,90.3732,91.5264,90.0273,91.5466
40,90.3616,91.5264,90.0246,91.5474
41,90.3501,91.5264,90.0219,91.5481
42,90.3385,91.5264,90.0191,91.5491
43,90.3269,91.5264,90.0157,91.5509
44,90.3153,91.5264,90.0124,91.5528
45,90.3038,91.5264,90.0091,91.5546
46,90.2922,91.5264,90.0057,91.5565
47,90.2806,91.5264,90.0024,91.5583
48,90.2691,91.5264,89.9991,91.5602
49,90.2575,91.5264,89.9957,91.5620
50,90.2459,91.5264,89.9924,91.5639
51,90.2343,91.5264,89.9890,91.5658
52,90.2228,91.5264,89.9857,91.5676
53,90.2112,91.5264,89.9824,91.5695
54,90.1996,91.5264,89.9790,91.5713
55,90.1881,91.5264,89.9757,91.5732
56,90.1765,91.5264,89.9724,91.5750
57,90.1650,91.5264,89.9690,91.5769
58,90.1571,91.5257,89.9664,91.5776
59,90.1491,91.5251,89.9639,91.5783
60,90.1411,91.5244,89.9613,91.5791
61,90.1332,91.5238,89.9587,91.5798
62,90.1252,91.5231,89.9561,91.5806
63,90.1173,91.5224,89.9535,91.5813
64,90.1093,91.5218,89.9509,91.5820
65,90.1014,91.5211,89.9483,91.5828
66,90.0934,91.5205,89.9457,91.5835
67,90.0854,91.5198,89.9431,91.5843
68,90.0775,91.5192,89.9405,91.5850
69,90.0695,91.5185,89.9379,91.5858
70,90.0616,91.5179,89.9353,91.5865
71,90.0536,91.5172,89.9327,91.5872
72,90.0457,91.5166,89.9301,91.5880
73,90.0377,91.5159,89.9262,91.5894
74,90.0297,91.5152,89.9221,91.5909
75,90.0218,91.5146,89.9180,91.5924
76,90.0138,91.5139,89.9140,91.5939
77,90.0059,91.5133,89.9099,91.5953
78,89.9979,91.5126,89.9058,91.5968
79,89.9900,91.5120,89.9017,91.5983
80,89.9820,91.5113,89.8977,91.5998
81,89.9740,91.5107,89.8936,91.6013
82,89.9661,91.5100,89.8895,91.6028
83,89.9581,91.5093,89.8854,91.6042
84,89.9502,91.5087,89.8813,91.6057
85,89.9422,91.5080,89.8773,91.6072
86,89.9343,91.5074,89.8732,91.6087
87,89.9263,91.5067,89.8691,91.6102
88,89.9184,91.5061,89.8661,91.6114
89,89.9104,91.5054,89.8634,91.6125
90,89.9024,91.5048,89.8607,91.6137
91,89.8945,91.5041,89.8580,91.6149
92,89.8865,91.5035,89.8553,91.6160
93,89.8786,91.5028,89.8526,91.6172
94,89.8706,91.5021,89.8499,91.6183
95,89.8627,91.5015,89.8472,91.6195
96,89.8547,91.5008,89.8445,91.6206
97,89.8467,91.5002,89.8418,91.6218
98,89.8388,91.4995,89.8391,91.6229
99,89.8308,91.4989,89.8364,91.6241
100,89.8229,91.4982,89.8337,91.6252
101,89.8149,91.4976,89.8310,91.6264
102,89.8070,91.4969,89.8279,91.6276
103,89.7990,91.4962,89.8238,91.6291
104,89.7910,91.4956,89.8198,91.6306
105,89.7831,91.4949,89.8157,91.6321
106,89.7751,91.4943,89.8116,91.6336
107,89.7672,91.4936,89.8075,91.6351
108,89.7592,91.4930,89.8034,91.6365
109,89.7513,91.4923,89.7994,91.6380
110,89.7433,91.4917,89.7953,91.6395
111,89.7353,91.4910,89.7912,91.6410
112,89.7274,91.4903,89.7871,91.6425
113,89.7194,91.4897,89.7830,91.6440
114,89.7115,91.4890,89.7790,91.6455
115,89.7035,91.4884,89.7749,91.6469
116,89.6956,91.4877,89.7708,91.6484
117,89.6877,91.4877,89.7670,91.6500
118,89.6802,91.4904,89.7644,91.6518
119,89.6727,91.4931,89.7618,91.6537
120,89.6652,91.4958,89.7592,91.6555
121,89.6577,91.4985,89.7566,91.6574
122,89.6502,91.5013,89.7540,91.6592
123,89.6428,91.5040,89.7514,91.6611
124,89.6353,91.5067,89.7488,91.6630
125,89.6278,91.5094,89.7462,91.6648
126,89.6203,91.5121,89.7437,91.6667
127,89.6128,91.5148,89.7411,91.6685
128,89.6053,91.5175,89.7385,91.6704
129,89.5978,91.5203,89.7359,91.6722
130,89.5903,91.5230,89.7333,91.6741
131,89.5828,91.5257,89.7307,91.6759
132,89.5754,91.5284,89.7280,91.6777
133,89.5679,91.5311,89.7239,91.6785
134,89.5604,91.5338,89.7198,91.6792
135,89.5529,91.5365,89.7158,91.6799
136,89.5454,91.5393,89.7117,91.6807
137,89.5379,91.5420,89.7076,91.6814
138,89.5304,91.5447,89.7035,91.6822
139,89.5229,91.5474,89.6994,91.6829
140,89.5155,91.5501,89.6954,91.6836
141,89.5080,91.5528,89.6913,91.6844
142,89.5005,91.5555,89.6872,91.6851
143,89.4930,91.5583,89.6831,91.6859
144,89.4855,91.5610,89.6791,91.6866
145,89.4780,91.5637,89.6750,91.6874
146,89.4705,91.5664,89.6709,91.6881
147,89.4630,91.5691,89.6668,91.6888
148,89.4555,91.5718,89.6629,91.6900
149,89.4481,91.5745,89.6591,91.6911
150,89.4406,91.5773,89.6552,91.6923
151,89.4331,91.5800,89.6513,91.6935
152,89.4256,91.5827,89.6475,91.6946
153,89.4181,91.5854,89.6436,91.6958
154,89.4106,91.5881,89.6398,91.6969
155,89.4031,91.5908,89.6359,91.6981
156,89.3956,91.5935,89.6320,91.6993
157,89.3881,91.5963,89.6282,91.7004
158,89.3807,91.5990,89.6243,91.7016
159,89.3732,91.6017,89.6204,91.7027
160,89.3657,91.6044,89.6166,91.7039
161,89.3582,91.6071,89.6127,91.7050
162,89.3507,91.6098,89.6088,91.7063
163,89.3432,91.6125,89.6047,91.7078
164,89.3357,91.6153,89.6006,91.7093
165,89.3282,91.6180,89.5965,91.7108
166,89.3207,91.6207,89.5925,91.7123
167,89.3133,91.6234,89.5884,91.7137
168,89.3058,91.6261,89.5843,91.7152
169,89.2983,91.6288,89.5802,91.7167
170,89.2908,91.6315,89.5762,91.7182
171,89.2833,91.6343,89.5721,91.7197
172,89.2758,91.6370,89.5680,91.7211
173,89.2683,91.6397,89.5639,91.7226
174,89.2608,91.6424,89.5599,91.7241
175,89.2534,91.6451,89.5558,91.7256
176,89.2459,91.6478,89.5517,91.7271
177,89.2391,91.6503,89.5482,91.7285
178,89.2339,91.6521,89.5460,91.7300
179,89.2286,91.6540,89.5438,91.7315
180,89.2234,91.6559,89.5416,91.7330
181,89.2182,91.6577,89.5393,91.7345
182,89.2129,91.6596,89.5371,91.7360
183,89.2077,91.6615,89.5349,91.7374
184,89.2024,91.6634,89.5327,91.7389
185,89.1972,91.6652,89.5304,91.7404
186,89.1920,91.6671,89.5282,91.7419
187,89.1867,91.6690,89.5260,91.7434
188,89.1815,91.6709,89.5238,91.7449
189,89.1762,91.6727,89.5215,91.7463
190,89.1710,91.6746,89.5193,91.7478
191,89.1657,91.6765,89.5171,91.7493
192,89.1605,91.6783,89.5145,91.7509
193,89.1553,91.6802,89.5108,91.7527
194,89.1500,91.6821,89.5071,91.7546
195,89.1448,91.6840,89.5034,91.7564
196,89.1395,91.6858,89.4997,91.7583
197,89.1343,91.6877,89.4960,91.7601
198,89.1291,91.6896,89.4923,91.7620
199,89.1238,91.6914,89.4886,91.7638
200,89.1186,91.6933,89.4849,91.7657
201,89.1133,91.6952,89.4812,91.7676
202,89.1081,91.6971,89.4775,91.7694
203,89.1028,91.6989,89.4738,91.7713
204,89.0976,91.7008,89.4701,91.7731
205,89.0924,91.7027,89.4664,91.7750
206,89.0871,91.7045,89.4627,91.7768
207,89.0819,91.7064,89.4589,91.7787
208,89.0766,91.7083,89.4547,91.7802
209,89.0714,91.7102,89.4504,91.7817
210,89.0662,91.7120,89.4462,91.7833
211,89.0609,91.7139,89.4419,91.7848
212,89.0557,91.7158,89.4377,91.7864
213,89.0504,91.7177,89.4335,91.7879
214,89.0452,91.7195,89.4292,91.7895
215,89.0399,91.7214,89.4250,91.7910
216,89.0347,91.7233,89.4207,91.7926
217,89.0295,91.7251,89.4165,91.7941
218,89.0242,91.7270,89.4122,91.7957
219,89.0190,91.7289,89.4080,91.7972
220,89.0137,91.7308,89.4037,91.7987
221,89.0085,91.7326,89.3995,91.8003
222,89.0033,91.7345,89.3958,91.8011
223,88.9980,91.7364,89.3924,91.8015
224,88.9928,91.7382,89.3891,91.8019
225,88.9875,91.7401,89.3858,91.8022
226,88.9823,91.7420,89.3824,91.8026
227,88.9770,91.7439,89.3791,91.8030
228,88.9718,91.7457,89.3757,91.8034
229,88.9666,91.7476,89.3724,91.8037
230,88.9613,91.7495,89.3690,91.8041
231,88.9561,91.7513,89.3657,91.8045
232,88.9508,91.7532,89.3624,91.8048
233,88.9456,91.7551,89.3590,91.8052
234,88.9403,91.7570,89.3557,91.8056
235,88.9351,91.7588,89.3523,91.8059
236,88.9299,91.7607,89.3490,91.8063
237,88.9247,91.7626,89.3453,91.8072
238,88.9195,91.7645,89.3412,91.8087
239,88.9144,91.7663,89.3371,91.8102
240,88.9092,91.7682,89.3331,91.8117
241,88.9041,91.7701,89.3290,91.8132
242,88.8989,91.7719,89.3249,91.8147
243,88.8938,91.7738,89.3208,91.8161
244,88.8886,91.7757,89.3168,91.8176
245,88.8835,91.7776,89.3127,91.8191
246,88.8783,91.7794,89.3086,91.8206
247,88.8732,91.7813,89.3045,91.8221
248,88.8680,91.7832,89.3005,91.8236
249,88.8629,91.7850,89.2964,91.8250
250,88.8577,91.7869,89.2923,91.8265
251,88.8526,91.7888,89.2882,91.8280
252,88.8474,91.7907,89.2847,91.8293
253,88.8423,91.7925,89.2821,91.8305
254,88.8371,91.7944,89.2795,91.8316
255,88.8320,91.7963,89.2769,91.8327
256,88.8268,91.7982,89.2743,91.8338
257,88.8217,91.8000,89.2717,91.8349
258,88.8165,91.8019,89.2691,91.8360
259,88.8114,91.8038,89.2665,91.8371
260,88.8062,91.8056,89.2639,91.8382
261,88.8011,91.8075,89.2613,91.8393
262,88.7959,91.8094,89.2587,91.8404
263,88.7908,91.8113,89.2562,91.8415
264,88.7856,91.8131,89.2536,91.8426
265,88.7805,91.8150,89.2510,91.8438
266,88.7753,91.8169,89.2484,91.8449
267,88.7702,91.8187,89.2454,91.8461
268,88.7650,91.8206,89.2416,91.8476
269,88.7599,91.8225,89.2377,91.8492
270,88.7547,91.8244,89.2339,91.8507
271,88.7496,91.8262,89.2300,91.8523
272,88.7444,91.8281,89.2261,91.8538
273,88.7393,91.8300,89.2223,91.8554
274,88.7341,91.8319,89.2184,91.8569
275,88.7290,91.8337,89.2146,91.8585
276,88.7238,91.8356,89.2107,91.8600
