# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
0,91.4151,91.0207,101.7918,91.5224,91.5130,101.7882
1,91.4151,91.0207,101.7918,91.5224,91.5130,101.7882
2,91.4151,91.0207,101.7918,91.5224,91.5130,101.7882
3,91.4150,91.0204,101.7744,91.5224,91.5130,101.7882
4,91.4149,91.0194,101.7394,91.5224,91.5130,101.7882
5,91.4148,91.0184,101.7043,91.5224,91.5130,101.7882
6,91.4147,91.0175,101.6692,91.5224,91.5130,101.7882
7,91.4146,91.0165,101.6342,91.5224,91.5130,101.7882
8,91.4145,91.0155,101.5991,91.5224,91.5130,101.7882
9,91.4143,91.0146,101.5641,91.5224,91.5130,101.7882
10,91.4142,91.0136,101.5290,91.5249,91.5146,101.7821
11,91.4141,91.0126,101.4939,91.5275,91.5163,101.7754
12,91.4140,91.0116,101.4589,91.5301,91.5180,101.7688
13,91.4139,91.0107,101.4238,91.5328,91.5197,101.7621
14,91.4138,91.0097,101.3888,91.5354,91.5214,101.7555
15,91.4136,91.0087,101.3537,91.5380,91.5231,101.7489
16,91.4135,91.0078,101.3186,91.5407,91.5248,101.7422
17,91.4134,91.0068,101.2836,91.5433,91.5265,101.7356
18,91.4133,91.0058,101.2485,91.5459,91.5282,101.7289
19,91.4132,91.0049,101.2135,91.5486,91.5299,101.7223
20,91.4131,91.0039,101.1784,91.5512,91.5316,101.7156
21,91.4129,91.0029,101.1433,91.5538,91.5333,101.7090
22,91.4128,91.0020,101.1083,91.5564,91.5351,101.7024
23,91.4127,91.0010,101.0732,91.5591,91.5368,101.6957
24,91.4126,91.0000,101.0382,91.5617,91.5385,101.6891
25,91.4125,90.9990,101.0031,91.5640,91.5396,101.6713
26,91.4124,90.9981,100.9680,91.5662,91.5407,101.6514
27,91.4122,90.9971,100.9330,91.5683,91.5418,101.6315
28,91.4121,90.9961,100.8979,91.5705,91.5429,101.6116
29,91.4120,90.9952,100.8629,91.5727,91.5440,101.5918
30,91.4119,90.9942,100.8278,91.5749,91.5451,101.5719
31,91.4118,90.9932,100.7927,91.5771,91.5462,101.5520
32,91.4117,90.9923,100.7577,91.5793,91.5473,101.5321
33,91.4115,90.9913,100.7226,91.5815,91.5484,101.5122
34,91.4114,90.9903,100.6876,91.5837,91.5495,101.4923
35,91.4113,90.9894,100.6525,91.5858,91.5506,101.4725
36,91.4112,90.9884,100.6174,91.5880,91.5517,101.4526
37,91.4111,90.9874,100.5824,91.5902,91.5528,101.4327
38,91.4110,90.9864,100.5473,91.5924,91.5539,101.4128
39,91.4108,90.9855,100.5123,91.5946,91.5550,101.3929
40,91.4107,90.9845,100.4772,91.5953,91.5565,101.3793
41,91.4106,90.9835,100.4421,91.5959,91.5580,101.3662
42,91.4105,90.9826,100.4071,91.5966,91.5596,101.3530
43,91.4104,90.9816,100.3720,91.5972,91.5611,101.3399
44,91.4103,90.9806,100.3370,91.5978,91.5627,101.3267
45,91.4101,90.9797,100.3019,91.5984,91.5642,101.3135
46,91.4100,90.9787,100.2668,91.5991,91.5657,101.3004
47,91.4099,90.9777,100.2318,91.5997,91.5673,101.2872
48,91.4098,90.9768,100.1967,91.6003,91.5688,101.2741
49,91.4097,90.9758,100.1617,91.6009,91.5704,101.2609
50,91.4096,90.9748,100.1266,91.6015,91.5719,101.2478
51,91.4095,90.9738,100.0915,91.6022,91.5735,101.2346
52,91.4093,90.9729,100.0565,91.6028,91.5750,101.2215
53,91.4092,90.9719,100.0214,91.6034,91.5766,101.2083
54,91.4091,90.9709,99.9864,91.6040,91.5781,101.1952
55,91.4090,90.9700,99.9513,91.6054,91.5793,101.1761
56,91.4089,90.9690,99.9162,91.6070,91.5804,101.1560
57,91.4088,90.9680,99.8812,91.6085,91.5814,101.1358
58,91.4086,90.9671,99.8461,91.6101,91.5825,101.1157
59,91.4085,90.9661,99.8111,91.6116,91.5836,101.0956
60,91.4084,90.9651,99.7760,91.6132,91.5847,101.0755
61,91.4083,90.9642,99.7409,91.6147,91.5858,101.0554
62,91.4082,90.9632,99.7059,91.6163,91.5869,101.0353
63,91.4084,90.9627,99.6757,91.6178,91.5880,101.0152
64,91.4103,90.9649,99.6557,91.6193,91.5890,100.9951
65,91.4122,90.9670,99.6357,91.6209,91.5901,100.9750
66,91.4141,90.9692,99.6157,91.6224,91.5912,100.9549
