time_s,Pt_2.0bar,Pt_1.8bar,Pt_1.6bar,Pt_1.4bar,Pt_1.2bar
0,90.0029,90.0029,90.0029,89.9883,90.0029
1,90.0029,90.0029,90.0004,89.9883,89.9929
2,90.0029,90.0029,89.9979,89.9883,89.9829
3,90.0029,90.0029,89.9954,89.9883,89.9730
4,90.0029,90.0029,89.9929,89.9883,89.9630
5,90.0029,90.0029,89.9905,89.9883,89.9530
6,90.0029,90.0026,89.9881,89.9876,89.9434
7,90.0029,90.0009,89.9863,89.9823,89.9364
8,90.0029,89.9991,89.9846,89.9770,89.9294
9,90.0029,89.9974,89.9828,89.9717,89.9224
10,90.0029,89.9956,89.9811,89.9664,89.9154
11,90.0029,89.9939,89.9793,89.9612,89.9084
12,90.0029,89.9921,89.9775,89.9559,89.9014
13,90.0029,89.9904,89.9758,89.9506,89.8944
14,90.0029,89.9886,89.9740,89.9453,89.8873
15,90.0014,89.9869,89.9723,89.9430,89.8773
16,89.9997,89.9851,89.9705,89.9412,89.8667
17,89.9979,89.9833,89.9688,89.9395,89.8561
18,89.9962,89.9816,89.9670,89.9377,89.8455
19,89.9944,89.9798,89.9653,89.9360,89.8348
20,89.9926,89.9781,89.9635,89.9342,89.8242
21,89.9909,89.9763,89.9618,89.9325,89.8136
22,89.9891,89.9746,89.9600,89.9307,89.8030
23,89.9883,89.9738,89.9582,89.9289,89.7971
24,89.9883,89.9738,89.9565,89.9272,89.7954
25,89.9883,89.9738,89.9547,89.9254,89.7936
26,89.9883,89.9738,89.9529,89.9237,89.7919
27,89.9883,89.9738,89.9511,89.9219,89.7901
28,89.9883,89.9738,89.9494,89.9202,89.7884
29,89.9883,89.9738,89.9476,89.9184,89.7866
30,89.9883,89.9738,89.9458,89.9167,89.7849
31,89.9883,89.9738,89.9440,89.9141,89.7823
32,89.9883,89.9738,89.9423,89.9088,89.7770
33,89.9883,89.9738,89.9405,89.9036,89.7718
34,89.9883,89.9738,89.9388,89.8983,89.7665
35,89.9883,89.9738,89.9370,89.8930,89.7613
36,89.9883,89.9738,89.9353,89.8878,89.7560
37,89.9883,89.9738,89.9335,89.8825,89.7507
38,89.9883,89.9738,89.9318,89.8773,89.7455
39,89.9883,89.9738,89.9300,89.8720,89.7402
40,89.9883,89.9721,89.9283,89.8691,89.7333
41,89.9883,89.9704,89.9265,89.8665,89.7263
42,89.9883,89.9686,89.9247,89.8638,89.7192
43,89.9883,89.9669,89.9230,89.8612,89.7122
44,89.9883,89.9651,89.9212,89.8585,89.7051
45,89.9883,89.9633,89.9195,89.8558,89.6981
46,89.9883,89.9616,89.9177,89.8532,89.6910
47,89.9883,89.9598,89.9160,89.8505,89.6840
48,89.9872,89.9581,89.9142,89.8478,89.6758
49,89.9855,89.9563,89.9125,89.8452,89.6670
50,89.9837,89.9545,89.9107,89.8425,89.6582
51,89.9820,89.9527,89.9089,89.8399,89.6493
52,89.9802,89.9510,89.9072,89.8372,89.6405
53,89.9784,89.9492,89.9054,89.8345,89.6317
54,89.9767,89.9474,89.9037,89.8319,89.6228
55,89.9749,89.9456,89.9019,89.8292,89.6140
56,89.9738,89.9444,89.9007,89.8268,89.6075
57,89.9738,89.9444,89.9007,89.8251,89.6057
58,89.9738,89.9444,89.9007,89.8233,89.6039
59,89.9738,89.9444,89.9007,89.8215,89.6022
60,89.9738,89.9444,89.9007,89.8198,89.6004
61,89.9738,89.9444,89.9007,89.8180,89.5987
62,89.9738,89.9444,89.9007,89.8162,89.5969
63,89.9738,89.9444,89.9007,89.8145,89.5952
64,89.9738,89.9444,89.9007,89.8127,89.5933
65,89.9738,89.9444,89.8989,89.8109,89.5880
66,89.9738,89.9444,89.8972,89.8092,89.5828
67,89.9738,89.9444,89.8954,89.8074,89.5775
68,89.9738,89.9444,89.8937,89.8056,89.5722
69,89.9738,89.9444,89.8919,89.8039,89.5669
70,89.9738,89.9444,89.8902,89.8021,89.5616
71,89.9738,89.9444,89.8884,89.8003,89.5564
72,89.9738,89.9444,89.8867,89.7986,89.5511
73,89.9738,89.9432,89.8849,89.7962,89.5433
74,89.9738,89.9414,89.8832,89.7936,89.5345
75,89.9738,89.9397,89.8814,89.7909,89.5257
76,89.9738,89.9379,89.8796,89.7883,89.5169
77,89.9738,89.9362,89.8779,89.7857,89.5082
78,89.9738,89.9344,89.8761,89.7830,89.4994
79,89.9738,89.9326,89.8744,89.7804,89.4906
80,89.9738,89.9309,89.8726,89.7778,89.4818
81,89.9730,89.9299,89.8709,89.7751,89.4760
82,89.9713,89.9299,89.8691,89.7725,89.4742
83,89.9695,89.9299,89.8673,89.7699,89.4724
84,89.9678,89.9299,89.8655,89.7672,89.4705
85,89.9660,89.9299,89.8638,89.7646,89.4687
86,89.9642,89.9299,89.8620,89.7620,89.4669
87,89.9625,89.9299,89.8602,89.7593,89.4651
88,89.9607,89.9299,89.8584,89.7567,89.4633
89,89.9592,89.9297,89.8567,89.7541,89.4611
90,89.9592,89.9279,89.8549,89.7514,89.4558
91,89.9592,89.9262,89.8532,89.7488,89.4505
92,89.9592,89.9244,89.8514,89.7462,89.4452
93,89.9592,89.9227,89.8496,89.7435,89.4399
94,89.9592,89.9209,89.8479,89.7409,89.4346
95,89.9592,89.9191,89.8461,89.7382,89.4293
96,89.9592,89.9174,89.8444,89.7356,89.4240
97,89.9592,89.9156,89.8426,89.7329,89.4187
98,89.9592,89.9153,89.8408,89.7303,89.4120
99,89.9592,89.9153,89.8390,89.7277,89.4050
100,89.9592,89.9153,89.8372,89.7250,89.3980
101,89.9592,89.9153,89.8354,89.7224,89.3910
102,89.9592,89.9153,89.8337,89.7197,89.3840
103,89.9592,89.9153,89.8319,89.7171,89.3770
104,89.9592,89.9153,89.8301,89.7144,89.3700
105,89.9592,89.9153,89.8283,89.7118,89.3629
106,89.9592,89.9144,89.8265,89.7087,89.3568
107,89.9592,89.9127,89.8247,89.7052,89.3515
108,89.9592,89.9109,89.8230,89.7016,89.3462
109,89.9592,89.9091,89.8212,89.6981,89.3410
110,89.9592,89.9074,89.8195,89.6945,89.3357
111,89.9592,89.9056,89.8177,89.6910,89.3304
112,89.9592,89.9039,89.8160,89.6875,89.3251
113,89.9592,89.9021,89.8142,89.6839,89.3198
114,89.9588,89.9007,89.8128,89.6804,89.3153
115,89.9570,89.9007,89.8128,89.6768,89.3135
116,89.9553,89.9007,89.8128,89.6733,89.3118
117,89.9535,89.9007,89.8128,89.6698,89.3100
118,89.9517,89.9007,89.8128,89.6662,89.3083
119,89.9499,89.9007,89.8128,89.6627,89.3065
120,89.9482,89.9007,89.8128,89.6591,89.3048
121,89.9464,89.9007,89.8128,89.6556,89.3030
122,89.9446,89.9007,89.8128,89.6520,89.3012
123,89.9444,89.8991,89.8112,89.6501,89.2978
124,89.9444,89.8974,89.8094,89.6484,89.2943
125,89.9444,89.8956,89.8077,89.6466,89.2907
126,89.9444,89.8939,89.8059,89.6449,89.2871
127,89.9444,89.8921,89.8041,89.6431,89.2835
128,89.9444,89.8904,89.8023,89.6414,89.2800
129,89.9444,89.8886,89.8006,89.6396,89.2764
130,89.9444,89.8869,89.7988,89.6378,89.2728
131,89.9444,89.8862,89.7970,89.6361,89.2671
132,89.9444,89.8862,89.7953,89.6343,89.2601
133,89.9444,89.8862,89.7935,89.6326,89.2531
134,89.9444,89.8862,89.7918,89.6308,89.2461
135,89.9444,89.8862,89.7900,89.6291,89.2391
136,89.9444,89.8862,89.7882,89.6273,89.2321
137,89.9444,89.8862,89.7865,89.6256,89.2251
138,89.9444,89.8862,89.7847,89.6238,89.2180
139,89.9444,89.8857,89.7830,89.6218,89.2126
140,89.9444,89.8840,89.7813,89.6192,89.2109
141,89.9444,89.8822,89.7796,89.6166,89.2092
142,89.9444,89.8805,89.7779,89.6140,89.2075
143,89.9444,89.8788,89.7762,89.6114,89.2058
144,89.9444,89.8771,89.7745,89.6088,89.2041
145,89.9444,89.8754,89.7728,89.6062,89.2024
146,89.9444,89.8737,89.7711,89.6036,89.2007
147,89.9444,89.8720,89.7694,89.6011,89.1990
148,89.9431,89.8716,89.7676,89.5985,89.1959
149,89.9414,89.8716,89.7659,89.5959,89.1924
150,89.9396,89.8716,89.7641,89.5933,89.1889
151,89.9378,89.8716,89.7624,89.5907,89.1854
152,89.9361,89.8716,89.7606,89.5881,89.1818
153,89.9343,89.8716,89.7588,89.5855,89.1783
154,89.9326,89.8716,89.7571,89.5829,89.1748
155,89.9308,89.8716,89.7553,89.5803,89.1713
156,89.9299,89.8708,89.7544,89.5773,89.1678
157,89.9299,89.8690,89.7544,89.5738,89.1642
158,89.9299,89.8673,89.7544,89.5702,89.1607
159,89.9299,89.8655,89.7544,89.5667,89.1572
160,89.9299,89.8637,89.7544,89.5632,89.1537
161,89.9299,89.8619,89.7544,89.5596,89.1502
162,89.9299,89.8601,89.7544,89.5561,89.1466
163,89.9299,89.8584,89.7544,89.5526,89.1431
164,89.9299,89.8569,89.7541,89.5493,89.1393
165,89.9299,89.8569,89.7524,89.5476,89.1340
166,89.9299,89.8569,89.7506,89.5458,89.1287
167,89.9299,89.8569,89.7488,89.5440,89.1233
168,89.9299,89.8569,89.7471,89.5423,89.1180
169,89.9299,89.8569,89.7453,89.5405,89.1127
170,89.9299,89.8569,89.7436,89.5388,89.1074
171,89.9299,89.8569,89.7418,89.5370,89.1021
172,89.9299,89.8569,89.7401,89.5353,89.0967
173,89.9284,89.8554,89.7383,89.5335,89.0914
174,89.9266,89.8536,89.7366,89.5318,89.0862
175,89.9249,89.8519,89.7348,89.5300,89.0809
176,89.9231,89.8501,89.7331,89.5283,89.0756
177,89.9214,89.8484,89.7313,89.5265,89.0703
178,89.9196,89.8466,89.7295,89.5247,89.0651
179,89.9178,89.8448,89.7278,89.5230,89.0598
180,89.9161,89.8431,89.7260,89.5212,89.0545
181,89.9153,89.8423,89.7243,89.5185,89.0492
182,89.9153,89.8423,89.7225,89.5150,89.0440
183,89.9153,89.8423,89.7207,89.5115,89.0387
184,89.9153,89.8423,89.7189,89.5080,89.0334
185,89.9153,89.8423,89.7172,89.5045,89.0282
186,89.9153,89.8423,89.7154,89.5010,89.0229
187,89.9153,89.8423,89.7136,89.4975,89.0176
188,89.9153,89.8423,89.7118,89.4940,89.0123
189,89.9153,89.8419,89.7101,89.4909,89.0079
190,89.9153,89.8401,89.7083,89.4891,89.0062
191,89.9153,89.8383,89.7066,89.4873,89.0044
192,89.9153,89.8365,89.7048,89.4855,89.0027
193,89.9153,89.8347,89.7031,89.4837,89.0009
194,89.9153,89.8329,89.7013,89.4819,88.9992
195,89.9153,89.8311,89.6995,89.4802,88.9974
196,89.9153,89.8293,89.6978,89.4784,88.9956
197,89.9153,89.8275,89.6960,89.4766,88.9939
198,89.9153,89.8274,89.6959,89.4748,88.9905
199,89.9153,89.8274,89.6959,89.4730,88.9870
200,89.9153,89.8274,89.6959,89.4712,88.9834
201,89.9153,89.8274,89.6959,89.4694,88.9799
202,89.9153,89.8274,89.6959,89.4677,88.9764
203,89.9153,89.8274,89.6959,89.4659,88.9729
204,89.9153,89.8274,89.6959,89.4641,88.9694
205,89.9153,89.8274,89.6959,89.4623,88.9659
206,89.9142,89.8263,89.6948,89.4594,88.9624
207,89.9124,89.8245,89.6931,89.4559,88.9589
208,89.9107,89.8228,89.6913,89.4524,88.9553
209,89.9089,89.8210,89.6896,89.4489,88.9518
210,89.9072,89.8192,89.6878,89.4454,88.9483
211,89.9054,89.8175,89.6860,89.4419,88.9447
212,89.9037,89.8157,89.6843,89.4384,88.9412
213,89.9019,89.8140,89.6825,89.4349,88.9377
214,89.9007,89.8128,89.6808,89.4316,88.9330
215,89.9007,89.8128,89.6790,89.4290,88.9259
216,89.9007,89.8128,89.6773,89.4264,88.9188
217,89.9007,89.8128,89.6755,89.4237,88.9117
218,89.9007,89.8128,89.6738,89.4211,88.9046
219,89.9007,89.8128,89.6720,89.4184,88.8975
220,89.9007,89.8128,89.6703,89.4158,88.8904
221,89.9007,89.8128,89.6685,89.4131,88.8834
222,89.9007,89.8128,89.6667,89.4105,88.8765
223,89.9007,89.8110,89.6649,89.4079,88.8747
224,89.9007,89.8092,89.6631,89.4052,88.8730
225,89.9007,89.8074,89.6613,89.4026,88.8712
226,89.9007,89.8057,89.6595,89.3999,88.8695
227,89.9007,89.8039,89.6577,89.3973,88.8677
228,89.9007,89.8021,89.6558,89.3946,88.8660
229,89.9007,89.8003,89.6540,89.3920,88.8642
230,89.9007,89.7986,89.6522,89.3894,88.8625
231,89.9007,89.7981,89.6504,89.3874,88.8607
232,89.9007,89.7981,89.6487,89.3856,88.8590
233,89.9007,89.7981,89.6469,89.3839,88.8572
234,89.9007,89.7981,89.6452,89.3821,88.8554
235,89.9007,89.7981,89.6434,89.3803,88.8537
236,89.9007,89.7981,89.6417,89.3786,88.8519
237,89.9007,89.7981,89.6399,89.3768,88.8502
238,89.9007,89.7981,89.6381,89.3751,88.8484
239,89.9000,89.7981,89.6372,89.3733,88.8459
240,89.8982,89.7981,89.6372,89.3716,88.8424
241,89.8965,89.7981,89.6372,89.3698,88.8389
242,89.8947,89.7981,89.6372,89.3681,88.8354
243,89.8930,89.7981,89.6372,89.3663,88.8319
244,89.8912,89.7981,89.6372,89.3646,88.8284
245,89.8895,89.7981,89.6372,89.3628,88.8249
246,89.8877,89.7981,89.6372,89.3610,88.8213
247,89.8862,89.7979,89.6369,89.3593,88.8176
