time_s,Tg_288K,Tg_200K,Tg_120K,Tg_90K
0,90.0008,90.0008,90.0008,89.9892
1,90.0008,89.9988,89.9988,89.9892
2,90.0008,89.9969,89.9969,89.9892
3,90.0008,89.9949,89.9949,89.9892
4,90.0008,89.9929,89.9929,89.9892
5,90.0008,89.9909,89.9909,89.9892
6,90.0008,89.9892,89.9890,89.9888
7,90.0008,89.9892,89.9876,89.9860
8,90.0008,89.9892,89.9862,89.9832
9,90.0008,89.9892,89.9848,89.9804
10,90.0008,89.9892,89.9834,89.9776
11,90.0008,89.9892,89.9820,89.9748
12,90.0008,89.9892,89.9806,89.9720
13,90.0008,89.9892,89.9792,89.9692
14,90.0008,89.9892,89.9778,89.9664
15,89.9997,89.9880,89.9764,89.9647
16,89.9983,89.9866,89.9750,89.9633
17,89.9969,89.9852,89.9736,89.9619
18,89.9954,89.9838,89.9722,89.9605
19,89.9940,89.9824,89.9708,89.9590
20,89.9926,89.9810,89.9694,89.9576
21,89.9912,89.9796,89.9680,89.9562
22,89.9898,89.9782,89.9666,89.9548
23,89.9892,89.9768,89.9651,89.9534
24,89.9892,89.9754,89.9637,89.9520
25,89.9892,89.9740,89.9623,89.9506
26,89.9892,89.9726,89.9609,89.9492
27,89.9892,89.9712,89.9595,89.9478
28,89.9892,89.9698,89.9580,89.9464
29,89.9892,89.9684,89.9566,89.9450
30,89.9892,89.9670,89.9552,89.9436
31,89.9892,89.9659,89.9538,89.9422
32,89.9892,89.9659,89.9524,89.9408
33,89.9892,89.9659,89.9510,89.9394
34,89.9892,89.9659,89.9496,89.9380
35,89.9892,89.9659,89.9482,89.9365
36,89.9892,89.9659,89.9468,89.9351
37,89.9892,89.9659,89.9454,89.9337
38,89.9892,89.9659,89.9440,89.9323
39,89.9892,89.9659,89.9426,89.9309
40,89.9879,89.9646,89.9412,89.9295
41,89.9865,89.9632,89.9398,89.9281
42,89.9851,89.9618,89.9384,89.9267
43,89.9837,89.9603,89.9370,89.9253
44,89.9823,89.9589,89.9356,89.9239
45,89.9809,89.9575,89.9342,89.9225
46,89.9795,89.9561,89.9328,89.9211
47,89.9781,89.9547,89.9314,89.9197
48,89.9775,89.9532,89.9300,89.9183
49,89.9775,89.9518,89.9286,89.9169
50,89.9775,89.9504,89.9272,89.9155
51,89.9775,89.9490,89.9258,89.9141
52,89.9775,89.9476,89.9244,89.9127
53,89.9775,89.9462,89.9229,89.9113
54,89.9775,89.9448,89.9215,89.9099
55,89.9775,89.9434,89.9201,89.9085
56,89.9775,89.9425,89.9187,89.9071
57,89.9775,89.9425,89.9173,89.9057
58,89.9775,89.9425,89.9159,89.9043
59,89.9775,89.9425,89.9145,89.9029
60,89.9775,89.9425,89.9131,89.9015
61,89.9775,89.9425,89.9117,89.9001
62,89.9775,89.9425,89.9103,89.8987
63,89.9775,89.9425,89.9089,89.8973
64,89.9775,89.9424,89.9075,89.8959
65,89.9761,89.9410,89.9061,89.8945
66,89.9747,89.9396,89.9047,89.8930
67,89.9733,89.9382,89.9033,89.8916
68,89.9719,89.9368,89.9019,89.8902
69,89.9705,89.9354,89.9005,89.8888
70,89.9691,89.9340,89.8991,89.8874
71,89.9677,89.9326,89.8977,89.8859
72,89.9663,89.9312,89.8963,89.8845
73,89.9659,89.9298,89.8949,89.8831
74,89.9659,89.9284,89.8935,89.8817
75,89.9659,89.9270,89.8920,89.8803
76,89.9659,89.9256,89.8906,89.8789
77,89.9659,89.9242,89.8892,89.8775
78,89.9659,89.9228,89.8878,89.8761
79,89.9659,89.9214,89.8864,89.8747
80,89.9659,89.9200,89.8850,89.8733
81,89.9659,89.9192,89.8835,89.8719
82,89.9659,89.9192,89.8821,89.8704
83,89.9659,89.9192,89.8807,89.8690
84,89.9659,89.9192,89.8793,89.8676
85,89.9659,89.9192,89.8779,89.8661
86,89.9659,89.9192,89.8765,89.8647
87,89.9659,89.9192,89.8751,89.8633
88,89.9659,89.9192,89.8737,89.8618
89,89.9657,89.9190,89.8723,89.8604
90,89.9643,89.9176,89.8709,89.8590
91,89.9629,89.9162,89.8694,89.8576
92,89.9615,89.9148,89.8680,89.8562
93,89.9601,89.9134,89.8666,89.8548
94,89.9586,89.9120,89.8651,89.8534
95,89.9572,89.9106,89.8637,89.8520
96,89.9558,89.9092,89.8623,89.8506
97,89.9544,89.9078,89.8608,89.8492
98,89.9541,89.9064,89.8594,89.8472
99,89.9541,89.9050,89.8580,89.8451
100,89.9541,89.9036,89.8566,89.8430
101,89.9541,89.9022,89.8552,89.8409
102,89.9541,89.9008,89.8538,89.8387
103,89.9541,89.8994,89.8524,89.8366
104,89.9541,89.8980,89.8510,89.8345
105,89.9541,89.8966,89.8496,89.8324
106,89.9541,89.8959,89.8482,89.8303
107,89.9541,89.8959,89.8468,89.8282
108,89.9541,89.8959,89.8454,89.8261
109,89.9541,89.8959,89.8439,89.8240
110,89.9541,89.8959,89.8425,89.8219
111,89.9541,89.8959,89.8411,89.8197
112,89.9541,89.8959,89.8397,89.8176
113,89.9541,89.8959,89.8383,89.8155
114,89.9538,89.8956,89.8368,89.8136
115,89.9524,89.8942,89.8354,89.8122
116,89.9510,89.8928,89.8340,89.8108
117,89.9496,89.8914,89.8326,89.8094
118,89.9482,89.8899,89.8312,89.8080
119,89.9468,89.8885,89.8298,89.8065
120,89.9454,89.8871,89.8284,89.8051
121,89.9440,89.8857,89.8270,89.8037
122,89.9426,89.8843,89.8256,89.8023
123,89.9425,89.8829,89.8242,89.8009
124,89.9425,89.8815,89.8228,89.7995
